sampleID,Axis10.888827,Axis10.273335,Axis7.693126,region,location,siteID,depth,filter,subset,MPA,management,restrictions
EB504,-0.078217624,-0.360610217,-0.103747862,Lombok,North Lombok,LBK_17,M,0.4um,M04,no,open access,unrestricted fishing
EB509,-0.292398423,-0.052120798,0.237866014,Lombok,North Lombok,LBK_18,M,0.4um,M04,no,open access,unrestricted fishing
EB511,-0.035789416,0.15373208,-0.149248799,Lombok,South Lombok,LBK_07,M,0.4um,M04,yes,core zone,fishing prohibited
EB514,-0.057358686,0.154748943,-0.112144576,Lombok,South Lombok,LBK_08,M,0.4um,M04,no,open access,unrestricted fishing
EB518,-0.013667822,0.167786249,-0.151106357,Lombok,South Lombok,LBK_09,M,0.4um,M04,no,open access,unrestricted fishing
EB521,-0.18933338,0.186656452,0.035677947,Lombok,South Lombok,LBK_10,M,0.4um,M04,yes,core zone,fishing prohibited
EB524,-0.095145361,0.109237386,0.042592945,Lombok,South Lombok,LBK_11,M,0.4um,M04,yes,sustainable fisheries zone,fishing gear restriction
EB530,-0.16235358,-0.400719855,0.15707128,Waigeo,Waigeo,WGO_01,M,0.4um,M04,yes,core zone,fishing prohibited
EB534,-0.024768903,-0.060272204,-0.135816147,Waigeo,Waigeo,WGO_02,M,0.4um,M04,yes,core zone,fishing prohibited
EB557,0.115147406,0.077911691,-0.062816597,Waigeo,Waigeo,WGO_13,M,0.4um,M04,no,open access,unrestricted fishing
EB568,0.035070679,-0.121615575,-0.218528818,Waigeo,Waigeo,WGO_19,M,0.4um,M04,no,open access,unrestricted fishing
EB569,0.312693103,-0.030651598,-0.027372335,Misool,Misool,MIS_01,M,0.4um,M04,yes,sustainable fisheries zone,fishing gear restriction
EB573,0.277231904,0.021102461,-0.021379921,Misool,Misool,MIS_01,M,0.4um,M04,yes,sustainable fisheries zone,fishing gear restriction
EB577,0.314390202,0.016677231,-0.03402166,Misool,Misool,MIS_02,M,0.4um,M04,yes,tourism zone,fishing prohibited
EB585,0.27530491,0.046479737,0.053633763,Misool,Misool,MIS_04,M,0.4um,M04,yes,tourism zone,fishing prohibited
EB589,0.31324741,-0.005336423,0.027001103,Misool,Misool,MIS_05,M,0.4um,M04,yes,tourism zone,fishing prohibited
EB593,0.242068151,-0.06497711,0.089852498,Misool,Misool,MIS_06,M,0.4um,M04,yes,tourism zone,fishing prohibited
EB601,0.251113553,0.074176196,0.005763413,Misool,Misool,MIS_07,M,0.4um,M04,yes,sustainable fisheries zone,fishing gear restriction
