sampleID,Axis6.92244,Axis4.881823,Axis4.146601,region,location,siteID,depth,filter,subset,MPA,management,restrictions
EB503,0.055999613,-0.203812166,-0.113635747,Lombok,North Lombok,LBK_16,S,12um,S12,yes,core zone,fishing prohibited
EB507,0.030454866,-0.08356433,-0.187631076,Lombok,North Lombok,LBK_17,S,12um,S12,no,open access,unrestricted fishing
EB510,-0.157100474,-0.153731714,-0.017337277,Lombok,North Lombok,LBK_18,S,12um,S12,no,open access,unrestricted fishing
EB513,-0.179126282,-0.214485181,-0.032308405,Lombok,South Lombok,LBK_07,S,12um,S12,yes,core zone,fishing prohibited
EB517,-0.126991157,-0.193834112,0.1743796,Lombok,South Lombok,LBK_08,S,12um,S12,no,open access,unrestricted fishing
EB520,-0.107972957,-0.331955881,0.025059755,Lombok,South Lombok,LBK_09,S,12um,S12,no,open access,unrestricted fishing
EB523,-0.183410675,-0.362837816,0.033687122,Lombok,South Lombok,LBK_10,S,12um,S12,yes,core zone,fishing prohibited
EB526,-0.207485012,-0.295432227,0.089133762,Lombok,South Lombok,LBK_12,S,12um,S12,yes,sustainable fisheries zone,fishing gear restriction
EB533,-0.038104737,0.142990225,-0.20219603,Waigeo,Waigeo,WGO_01,S,12um,S12,yes,core zone,fishing prohibited
EB537,0.257181349,0.087610884,0.233973448,Waigeo,Waigeo,WGO_03,S,12um,S12,yes,core zone,fishing prohibited
EB539,0.057219292,0.215385643,0.182983368,Waigeo,Waigeo,WGO_04,S,12um,S12,yes,core zone,fishing prohibited
EB541,0.255603219,-0.003023552,-0.063622742,Waigeo,Waigeo,WGO_05,S,12um,S12,yes,tourism zone,fishing prohibited
EB543,0.316477505,-0.169282527,-0.08223836,Waigeo,Waigeo,WGO_06,S,12um,S12,yes,tourism zone,fishing prohibited
EB545,0.353124511,-0.051833989,-0.033949937,Waigeo,Waigeo,WGO_07,S,12um,S12,yes,tourism zone,fishing prohibited
EB547,0.108698451,0.117102671,-0.027117101,Waigeo,Waigeo,WGO_08,S,12um,S12,yes,core zone,fishing prohibited
EB551,0.15152705,-0.208412129,0.005571018,Waigeo,Waigeo,WGO_10,S,12um,S12,yes,tourism zone,fishing prohibited
EB554,0.230082019,-0.102308518,-0.016732221,Waigeo,Waigeo,WGO_11,S,12um,S12,no,open access,unrestricted fishing
EB556,0.045853012,-0.037384318,-0.177513751,Waigeo,Waigeo,WGO_12,S,12um,S12,no,open access,unrestricted fishing
EB561,-0.013039999,0.232847564,0.116119149,Waigeo,Waigeo,WGO_14,S,12um,S12,no,open access,unrestricted fishing
EB563,0.064697182,0.150052153,0.031441495,Waigeo,Waigeo,WGO_16,S,12um,S12,yes,core zone,fishing prohibited
EB566,0.025390564,0.131428182,-0.16416218,Waigeo,Waigeo,WGO_18,S,12um,S12,no,open access,unrestricted fishing
EB572,-0.022244353,0.292697122,0.025697518,Misool,Misool,MIS_01,S,12um,S12,yes,sustainable fisheries zone,fishing gear restriction
EB576,0.011737241,0.205230702,0.217332158,Misool,Misool,MIS_01,S,12um,S12,yes,sustainable fisheries zone,fishing gear restriction
EB580,0.00116354,0.211040429,0.118041567,Misool,Misool,MIS_02,S,12um,S12,yes,tourism zone,fishing prohibited
EB584,-0.188855921,-0.021098557,0.183028514,Misool,Misool,MIS_03,S,12um,S12,yes,tourism zone,fishing prohibited
EB588,-0.127405243,0.081347451,0.010996624,Misool,Misool,MIS_04,S,12um,S12,yes,tourism zone,fishing prohibited
EB592,-0.147119792,-0.018747161,-0.019931137,Misool,Misool,MIS_05,S,12um,S12,yes,tourism zone,fishing prohibited
EB596,-0.03552523,0.026796351,-0.130261268,Misool,Misool,MIS_06,S,12um,S12,yes,tourism zone,fishing prohibited
EB604,-0.133470598,0.062312743,0.15679729,Misool,Misool,MIS_07,S,12um,S12,yes,sustainable fisheries zone,fishing gear restriction
EB608,-0.228004688,0.043367683,0.051209924,Misool,Misool,MIS_08,S,12um,S12,yes,sustainable fisheries zone,fishing gear restriction
