region,depth,filter,subset,taxa,percent
Lombok,M,0.4um,M04,Radiolaria,0.05712955
Lombok,M,0.4um,M04,Other,0.067109089
Lombok,M,0.4um,M04,Apicomplexa,0.009605423
Lombok,M,0.4um,M04,Ciliophora,0.060977313
Lombok,M,0.4um,M04,Bacillariophyta,0.069194611
Lombok,M,0.4um,M04,Cercozoa,0.022264553
Lombok,M,0.4um,M04,Chrysophyceae,0.011926434
Lombok,M,0.4um,M04,Dinoflagellata,0.498234092
Lombok,M,0.4um,M04,Foraminifera,0.002354615
Lombok,M,0.4um,M04,MAST,0.147027894
Lombok,M,0.4um,M04,Pelagophyceae,0.054176426
Wakatobi,M,0.4um,M04,Radiolaria,0.073224437
Wakatobi,M,0.4um,M04,Other,0.078571088
Wakatobi,M,0.4um,M04,Apicomplexa,0.00702275
Wakatobi,M,0.4um,M04,Ciliophora,0.110959331
Wakatobi,M,0.4um,M04,Bacillariophyta,0.097390645
Wakatobi,M,0.4um,M04,Cercozoa,0.019247106
Wakatobi,M,0.4um,M04,Chrysophyceae,0.030404342
Wakatobi,M,0.4um,M04,Dinoflagellata,0.455615795
Wakatobi,M,0.4um,M04,Foraminifera,0.007566602
Wakatobi,M,0.4um,M04,MAST,0.078959124
Wakatobi,M,0.4um,M04,Pelagophyceae,0.041038781
Misool,M,0.4um,M04,Radiolaria,0.107312266
Misool,M,0.4um,M04,Other,0.031160329
Misool,M,0.4um,M04,Apicomplexa,0.012112488
Misool,M,0.4um,M04,Ciliophora,0.041543617
Misool,M,0.4um,M04,Bacillariophyta,0.056063568
Misool,M,0.4um,M04,Cercozoa,0.005928435
Misool,M,0.4um,M04,Chrysophyceae,0.005921575
Misool,M,0.4um,M04,Dinoflagellata,0.662843158
Misool,M,0.4um,M04,Foraminifera,0.003733765
Misool,M,0.4um,M04,MAST,0.06876717
Misool,M,0.4um,M04,Pelagophyceae,0.004613631
Waigeo,M,0.4um,M04,Radiolaria,0.086774066
Waigeo,M,0.4um,M04,Other,0.052856967
Waigeo,M,0.4um,M04,Apicomplexa,0.004952906
Waigeo,M,0.4um,M04,Ciliophora,0.059318707
