sampleid,L3,percent,region,siteID,depth,filter
EB501,Radiolaria,0.109022151,Lombok,LBK16,M,12um
EB501,Other,0.030037817,Lombok,LBK16,M,12um
EB501,Apicomplexa,0.051323609,Lombok,LBK16,M,12um
EB501,Ciliophora,0.033279308,Lombok,LBK16,M,12um
EB501,Bacillariophyta,0.467098867,Lombok,LBK16,M,12um
EB501,Cercozoa,0.025607779,Lombok,LBK16,M,12um
EB501,Chrysophyceae,0,Lombok,LBK16,M,12um
EB501,Dinoflagellata,0.263641274,Lombok,LBK16,M,12um
EB501,Foraminifera,0,Lombok,LBK16,M,12um
EB501,MAST,0,Lombok,LBK16,M,12um
EB501,Pelagophyceae,0.019989195,Lombok,LBK16,M,12um
EB502,Radiolaria,0.019016171,Lombok,LBK16,S,0.4um
EB502,Other,0.178091552,Lombok,LBK16,S,0.4um
EB502,Apicomplexa,0.123889773,Lombok,LBK16,S,0.4um
EB502,Ciliophora,0.082441358,Lombok,LBK16,S,0.4um
EB502,Bacillariophyta,0.058870416,Lombok,LBK16,S,0.4um
EB502,Cercozoa,0.029492142,Lombok,LBK16,S,0.4um
EB502,Chrysophyceae,0.005579595,Lombok,LBK16,S,0.4um
EB502,Dinoflagellata,0.264632203,Lombok,LBK16,S,0.4um
EB502,Foraminifera,0.156911865,Lombok,LBK16,S,0.4um
EB502,MAST,0.034388521,Lombok,LBK16,S,0.4um
EB502,Pelagophyceae,0.046686404,Lombok,LBK16,S,0.4um
EB503,Radiolaria,0.018748726,Lombok,LBK16,S,12um
EB503,Other,0.158752799,Lombok,LBK16,S,12um
EB503,Apicomplexa,0.1416344,Lombok,LBK16,S,12um
EB503,Ciliophora,0.068269817,Lombok,LBK16,S,12um
EB503,Bacillariophyta,0.393111881,Lombok,LBK16,S,12um
EB503,Cercozoa,0.021601792,Lombok,LBK16,S,12um
EB503,Chrysophyceae,0,Lombok,LBK16,S,12um
EB503,Dinoflagellata,0.135724475,Lombok,LBK16,S,12um
EB503,Foraminifera,0.032402692,Lombok,LBK16,S,12um
EB503,MAST,0.019156307,Lombok,LBK16,S,12um
EB503,Pelagophyceae,0.010597106,Lombok,LBK16,S,12um
EB504,Radiolaria,0.094871794,Lombok,LBK17,M,0.4um
EB504,Other,0.072344323,Lombok,LBK17,M,0.4um
EB504,Apicomplexa,0,Lombok,LBK17,M,0.4um
EB504,Ciliophora,0.015934066,Lombok,LBK17,M,0.4um
EB504,Bacillariophyta,0.37124542,Lombok,LBK17,M,0.4um
EB504,Cercozoa,0,Lombok,LBK17,M,0.4um
EB504,Chrysophyceae,0,Lombok,LBK17,M,0.4um
EB504,Dinoflagellata,0.39688645,Lombok,LBK17,M,0.4um
EB504,Foraminifera,0,Lombok,LBK17,M,0.4um
EB504,MAST,0.048717947,Lombok,LBK17,M,0.4um
EB504,Pelagophyceae,0,Lombok,LBK17,M,0.4um
EB505,Radiolaria,0.065722822,Lombok,LBK17,M,12um
EB505,Other,0.069879204,Lombok,LBK17,M,12um
EB505,Apicomplexa,0.010520846,Lombok,LBK17,M,12um
EB505,Ciliophora,0.011689828,Lombok,LBK17,M,12um
EB505,Bacillariophyta,0.140537733,Lombok,LBK17,M,12um
EB505,Cercozoa,0.022600338,Lombok,LBK17,M,12um
EB505,Chrysophyceae,0.004156383,Lombok,LBK17,M,12um
EB505,Dinoflagellata,0.531107937,Lombok,LBK17,M,12um
EB505,Foraminifera,0.009481749,Lombok,LBK17,M,12um
EB505,MAST,0.085205873,Lombok,LBK17,M,12um
EB505,Pelagophyceae,0.049097286,Lombok,LBK17,M,12um
EB506,Radiolaria,0.010343998,Lombok,LBK17,S,0.4um
EB506,Other,0.228770743,Lombok,LBK17,S,0.4um
EB506,Apicomplexa,0.216261729,Lombok,LBK17,S,0.4um
EB506,Ciliophora,0.020928553,Lombok,LBK17,S,0.4um
EB506,Bacillariophyta,0.183545828,Lombok,LBK17,S,0.4um
EB506,Cercozoa,0.028626416,Lombok,LBK17,S,0.4um
EB506,Chrysophyceae,0.00132307,Lombok,LBK17,S,0.4um
EB506,Dinoflagellata,0.262569157,Lombok,LBK17,S,0.4um
EB506,Foraminifera,0.023694971,Lombok,LBK17,S,0.4um
EB506,MAST,0.013350976,Lombok,LBK17,S,0.4um
EB506,Pelagophyceae,0.010584556,Lombok,LBK17,S,0.4um
EB507,Radiolaria,0.024587486,Lombok,LBK17,S,12um
EB507,Other,0.122528989,Lombok,LBK17,S,12um
EB507,Apicomplexa,0.014131678,Lombok,LBK17,S,12um
EB507,Ciliophora,0.067636008,Lombok,LBK17,S,12um
EB507,Bacillariophyta,0.625061271,Lombok,LBK17,S,12um
EB507,Cercozoa,0.019686328,Lombok,LBK17,S,12um
EB507,Chrysophyceae,0,Lombok,LBK17,S,12um
EB507,Dinoflagellata,0.107825519,Lombok,LBK17,S,12um
EB507,Foraminifera,0.008822087,Lombok,LBK17,S,12um
EB507,MAST,0.007923543,Lombok,LBK17,S,12um
EB507,Pelagophyceae,0.001797092,Lombok,LBK17,S,12um
EB508,Radiolaria,0.014311847,Lombok,LBK18,M,12um
EB508,Other,0.042666518,Lombok,LBK18,M,12um
EB508,Apicomplexa,0.010491768,Lombok,LBK18,M,12um
EB508,Ciliophora,0.009146669,Lombok,LBK18,M,12um
EB508,Bacillariophyta,0.528193265,Lombok,LBK18,M,12um
EB508,Cercozoa,0.001936941,Lombok,LBK18,M,12um
EB508,Chrysophyceae,0,Lombok,LBK18,M,12um
EB508,Dinoflagellata,0.381254715,Lombok,LBK18,M,12um
EB508,Foraminifera,0.001936941,Lombok,LBK18,M,12um
EB508,MAST,0.010061337,Lombok,LBK18,M,12um
EB508,Pelagophyceae,0,Lombok,LBK18,M,12um
EB509,Radiolaria,0.067217424,Lombok,LBK18,M,0.4um
EB509,Other,0.049568153,Lombok,LBK18,M,0.4um
EB509,Apicomplexa,0.02572287,Lombok,LBK18,M,0.4um
EB509,Ciliophora,0.001502066,Lombok,LBK18,M,0.4um
EB509,Bacillariophyta,0.116410063,Lombok,LBK18,M,0.4um
EB509,Cercozoa,0.090687195,Lombok,LBK18,M,0.4um
EB509,Chrysophyceae,0.004130679,Lombok,LBK18,M,0.4um
EB509,Dinoflagellata,0.563086745,Lombok,LBK18,M,0.4um
EB509,Foraminifera,0.012579798,Lombok,LBK18,M,0.4um
EB509,MAST,0.043559894,Lombok,LBK18,M,0.4um
EB509,Pelagophyceae,0.025535111,Lombok,LBK18,M,0.4um
EB510,Radiolaria,0.013381996,Lombok,LBK18,S,12um
EB510,Other,0.250912406,Lombok,LBK18,S,12um
EB510,Apicomplexa,0.006082725,Lombok,LBK18,S,12um
EB510,Ciliophora,0.072080296,Lombok,LBK18,S,12um
EB510,Bacillariophyta,0.249391724,Lombok,LBK18,S,12um
EB510,Cercozoa,0.08607056,Lombok,LBK18,S,12um
EB510,Chrysophyceae,0.002128954,Lombok,LBK18,S,12um
EB510,Dinoflagellata,0.26216545,Lombok,LBK18,S,12um
EB510,Foraminifera,0.023418493,Lombok,LBK18,S,12um
EB510,MAST,0.022201945,Lombok,LBK18,S,12um
EB510,Pelagophyceae,0.012165451,Lombok,LBK18,S,12um
EB511,Radiolaria,0.036338755,Lombok,LBK07,M,0.4um
EB511,Other,0.081039986,Lombok,LBK07,M,0.4um
EB511,Apicomplexa,0.007754296,Lombok,LBK07,M,0.4um
EB511,Ciliophora,0.084384979,Lombok,LBK07,M,0.4um
EB511,Bacillariophyta,0.088338151,Lombok,LBK07,M,0.4um
EB511,Cercozoa,0.027976283,Lombok,LBK07,M,0.4um
EB511,Chrysophyceae,0.008058387,Lombok,LBK07,M,0.4um
EB511,Dinoflagellata,0.418427851,Lombok,LBK07,M,0.4um
EB511,Foraminifera,0.000456136,Lombok,LBK07,M,0.4um
EB511,MAST,0.184126498,Lombok,LBK07,M,0.4um
EB511,Pelagophyceae,0.063098678,Lombok,LBK07,M,0.4um
EB512,Radiolaria,0.003411998,Lombok,LBK07,M,12um
EB512,Other,0.034119988,Lombok,LBK07,M,12um
EB512,Apicomplexa,0.020471993,Lombok,LBK07,M,12um
EB512,Ciliophora,0.126243956,Lombok,LBK07,M,12um
EB512,Bacillariophyta,0.464031845,Lombok,LBK07,M,12um
EB512,Cercozoa,0.004265,Lombok,LBK07,M,12um
EB512,Chrysophyceae,0.005117999,Lombok,LBK07,M,12um
EB512,Dinoflagellata,0.314472564,Lombok,LBK07,M,12um
EB512,Foraminifera,0,Lombok,LBK07,M,12um
EB512,MAST,0.027864656,Lombok,LBK07,M,12um
EB512,Pelagophyceae,0,Lombok,LBK07,M,12um
EB513,Radiolaria,0.010129563,Lombok,LBK07,S,12um
EB513,Other,0.220730271,Lombok,LBK07,S,12um
EB513,Apicomplexa,0.022379269,Lombok,LBK07,S,12um
EB513,Ciliophora,0.040518258,Lombok,LBK07,S,12um
EB513,Bacillariophyta,0.31166078,Lombok,LBK07,S,12um
EB513,Cercozoa,0.052061248,Lombok,LBK07,S,12um
EB513,Chrysophyceae,0.002355711,Lombok,LBK07,S,12um
EB513,Dinoflagellata,0.216961132,Lombok,LBK07,S,12um
EB513,Foraminifera,0.065724381,Lombok,LBK07,S,12um
EB513,MAST,0.033215548,Lombok,LBK07,S,12um
EB513,Pelagophyceae,0.02426384,Lombok,LBK07,S,12um
EB514,Radiolaria,0.019823788,Lombok,LBK08,M,0.4um
EB514,Other,0.065712192,Lombok,LBK08,M,0.4um
EB514,Apicomplexa,0.000367107,Lombok,LBK08,M,0.4um
EB514,Ciliophora,0.154735683,Lombok,LBK08,M,0.4um
EB514,Bacillariophyta,0.067547724,Lombok,LBK08,M,0.4um
EB514,Cercozoa,0.039096914,Lombok,LBK08,M,0.4um
EB514,Chrysophyceae,0.003854626,Lombok,LBK08,M,0.4um
EB514,Dinoflagellata,0.445301026,Lombok,LBK08,M,0.4um
EB514,Foraminifera,0,Lombok,LBK08,M,0.4um
EB514,MAST,0.147209983,Lombok,LBK08,M,0.4um
EB514,Pelagophyceae,0.056350955,Lombok,LBK08,M,0.4um
EB515,Radiolaria,0.011840158,Lombok,LBK08,M,12um
EB515,Other,0.021805626,Lombok,LBK08,M,12um
EB515,Apicomplexa,0.001874693,Lombok,LBK08,M,12um
EB515,Ciliophora,0.104686731,Lombok,LBK08,M,12um
EB515,Bacillariophyta,0.413024171,Lombok,LBK08,M,12um
EB515,Cercozoa,0.005525406,Lombok,LBK08,M,12um
