L3,EB501,EB502,EB503,EB504,EB505,EB506,EB507,EB508,EB509,EB510,EB511,EB512,EB513,EB514,EB515,EB516,EB517,EB518,EB519,EB520,EB521,EB522,EB523,EB524,EB525,EB526,EB527,EB530,EB531,EB532,EB533,EB534,EB535,EB536,EB537,EB538,EB539,EB540,EB541,EB542,EB543,EB544,EB545,EB546,EB547,EB548,EB550,EB551,EB552,EB553,EB554,EB555,EB556,EB557,EB558,EB559,EB560,EB561,EB562,EB563,EB564,EB565,EB566,EB567,EB568,EB569,EB570,EB571,EB572,EB573,EB574,EB575,EB576,EB577,EB578,EB579,EB580,EB582,EB583,EB584,EB585,EB586,EB587,EB588,EB589,EB590,EB591,EB592,EB593,EB594,EB595,EB596,EB601,EB602,EB603,EB604,EB605,EB606,EB607,EB608,EB609,EB610,EB611,EB612,EB613,EB614,EB615,EB616,EB617,EB618,EB619,EB620,EB621,EB622,EB623,EB624,EB625,EB626,EB627,EB628,EB629,EB630,EB631,EB632,EB633,EB634,EB635,EB636,EB637,EB638,EB639,EB640,EB642,EB643,EB644,EB645,EB646,EB647,EB648,EB649,EB650,EB651,EB652,EB653,EB654,EB655,EB656,EB657,EB658,EB659,EB660,EB1,EB10,EB11,EB12,EB13,EB14,EB15,EB16,EB17,EB18,EB19,EB2,EB20,EB21,EB22,EB23,EB24,EB25,EB26,EB3,EB4,EB41,EB42,EB43,EB44,EB45,EB46,EB47,EB5,EB6,EB7,EB8,EB9,EB202,EB203,EB204,EB205,EB206,EB207,EB208,EB209,EB210,EB211,EB212,EB213,EB214,EB215,EB216,EB217,EB218,EB219,EB220,EB221,EB222,EB223,EB224,EB225,EB226,EB227,EB228,EB229,EB230,EB231,EB232,EB233,EB234,EB235,EB236,EB237,EB238,EB239,EB240,EB241,EB242,EB243,EB244,EB245,EB246,EB247,EB248,EB249,EB250,EB251,EB252,EB253,EB254,EB255,EB256,EB257,EB258,EB259,EB260,EB261,EB262,EB263,EB265,EB266,EB267,EB268,EB269,EB270,EB271,EB272,EB273,EB274,EB275,EB276,EB277,EB278,EB279,EB280,EB281,EB282,EB356,EB357,EB358,EB359,EB360,EB361,EB362,EB363,EB364,EB365,EB366,EB367,EB368,EB369,EB370,EB371,EB372,EB373,EB374,EB375,EB376,EB377,EB378,EB379,EB380,EB381,EB382,EB383,EB384,EB385,EB386,EB387,EB388,EB389,EB390,EB391,EB392,EB393,EB394,EB395,EB396
Acantharea,0,0.007287634,0.010800896,0.006776556,0,0,0,0.00575702,0.000563275,0.004562044,0.008058385,0.003411998,0.00942285,0.006975036,0.00878145,0,0,0.004138718,0.005829204,0.010500525,0.001782333,0.00355046,0.013480859,0.002315469,0.003218392,0.008123007,0.007715037,0,0.011082964,0,0,0,0,0,0,0,0,0,0,0,0,0.012158451,0,0.000966932,0.022600991,0,0.001838932,0,0,0,0.042112299,0.032581853,0,0.137858415,0.018588584,0,0.00915914,0,0.012313335,0,0,0.005559929,0,0.016326989,0.001750904,0.019883529,0.029959939,0.009755608,0.002148577,0.011138522,0.008355193,0.006487187,0.013189451,0.009625564,0.098976109,0.014067995,0.023230089,0.007666671,0.03505412,0.025665401,0.016293391,0.011445575,0.002689076,0.015225272,0.014286572,0.062322781,0.029362603,0.017709035,0.010624929,0.007140715,0.016501441,0.010833257,0.01813702,0.059301284,0.04714352,0.025561579,0.014223723,0.014165838,0.019180677,0.008637033,0.009666735,0.005663871,0.013074484,0.002112105,0.007251068,0.005246729,0.008633634,0.00324939,0.003098373,0.010452963,0.009271364,0.006685878,0.005154639,0.027270797,0.005823804,0.001856518,0.005503926,0.009152244,0.008461922,0.004369865,0,0.007945389,0.018896321,0.008321775,0.003075851,0.038969616,0.017826336,0,0.019701343,0,0,0,0.018886773,0.02740134,0.006060606,0.031956937,0.039421263,0.029146637,0.035041717,0.0058995,0.004577211,0.008637237,0.001905487,0.002842063,0.03617079,0.012444826,0.002548196,0.049525134,0.048423708,0.017000347,0.02682575,0.026090616,0.007371315,0,0.001943399,0.002678573,0.005228966,0.025390625,0,0.003089412,0.004331835,0,0.001031593,0.00530303,0,0.003129482,0,0,0.017169487,0.00305319,0,0.001733102,0,0,0.010531205,0,0,0,0.00182944,0,0.001093852,0,0,0.001095014,0,0.004186695,0.022961203,0,0.005216324,0,0.011124667,0,0.005132415,0.026655348,0.023420308,0.034319059,0.006901606,0,0.002308346,0,0.0074865,0,0.001961134,0,0,0,0,0.006092477,0.044113462,0.010280742,0.010366704,0.003425109,0,0.000611771,0,0.011080099,0.013743188,0.003956649,0.001429423,0.007916379,0.009618433,0.000554529,0.008335845,0,0,0.008609226,0.008457749,0.003943775,0.00821448,0,0.006994026,0.031277151,0.013733906,0.001442308,0.006250001,0.008894537,0.024021793,0.019807006,0.003507075,0.009712853,0.003797898,0.000846859,0.012464414,0.004926107,0.013040494,0.015164281,0.008749117,0.004401664,0.002714286,0.005570407,0.013764735,0.001799925,0.002346757,0.009873293,0.01277156,0.003480475,0.014179713,0.011441943,0.001204563,0.005978435,0.014359914,0.0008501,0.00460691,0.005063722,0.035822449,0.00964727,0.006290862,0.004045852,0.017669532,0.005208003,0.002456647,0.002781055,0.005372465,0.003178217,0.003920409,0.001584054,0.037647746,0.012645914,0.006371716,0.003010115,0.020018199,0.01245777,0.005506722,0.003157639,0.00495704,0.025942883,0.008526714,0,0,0,0.002662682,0.002593637,0.004172375,0.015164401,0.000907132,0,0,0.000415692,0.029212827,0.015495999,0.006085905,0.00414578,0.0039681,0,0.003700342
Alveolata,0,0.005124119,0.005298553,0.062087913,0.000389661,0.006855907,0,0.003981493,0,0.008819952,0,0,0.008244994,0,0,0.001919385,0,0.001141715,0,0.003150158,0.000668374,0,0.009919877,0,0.00045977,0.002465913,0.000246225,0,0,0,0.136764355,0.011208151,0,0.003507365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004425809,0,0,0,0,0.00113397,0,0,0.007505406,0,0.011265392,0,0,0,0.050929949,0,0.002451267,0.000831948,0,0.004224078,0.005143563,0.009493908,0.004954824,0.008000865,0.00142743,0.005582827,0,0.023251271,0,0.000916666,0.013821818,0.006653992,0.00114435,0,0.01344538,0.008389434,0.001800829,0,0.015408099,0.004931632,0.00087589,0,0.011921193,0.003611086,0.001979318,0,0.007199255,0.01626646,0.002772421,0,0.011603123,0.000631977,0.002501183,0,0.018819334,0.026969945,0.001294833,0.001926015,0.025900903,0.015434607,0.002891815,0,0.021989778,0.020288184,0.002684708,0,0.011435833,0.009547807,0.001172905,0,0.004604282,0.007690963,0,0,0.011204014,0.021002578,0,0.001321004,0.021468278,0.00522916,0.001380349,0,0.02981723,0.034612964,0.001712654,0.006701414,0.007575759,0.004837831,0.009855316,0.002904647,0.015137068,0.001735148,0.002553603,0.001599489,0.020579266,0.000928021,0,0.006436977,0.007423003,0.003281785,0.001387137,0.006213324,0.011323049,0,0,0.002148826,0,0.001071429,0,0,0,0,0,0,0,0,0.011695906,0.005346199,0,0,0,0.000964165,0,0,0.019719773,0,0,0,0,0,0,0.003664346,0,0,0,0,0,0,0,0,0.005645904,0.009849238,0.000261415,0.00859828,0.003797988,0,0,0.025813471,0.00317596,0.004799705,0.003037298,0.003905742,0.002700049,0,0,0.012312513,0,0.009615385,0,0.002885911,0,0.007038356,0.005724896,0,0,0.000734124,0.019656234,0,0.003578108,0.002236367,0,0.004688342,0.003805095,0.002033272,0.005724616,0.007687872,0,0.045985861,0,0,0,0,0.00131138,0.301528081,0,0.002211539,0,0.00087968,0,0.000761808,0,0,0.000271279,0.000494002,0.233515427,0.001305716,0.005719515,0,0,0.000617056,0,0.001114147,0.003797166,0.012504737,0.001783535,0.001151884,0.000394996,0.006366722,0.00182588,0.007281239,0.000637711,0.001281093,0,0.000566732,0.001502254,0.00108102,0,0.087880606,0.008757866,0.000881779,0.00382044,0.011051128,0.004913295,0.003202429,0,0.015985964,0.015089877,0.001716058,0,0.002431906,0.000897425,0.000197384,0.012738855,0.015413853,0.001717692,0.002186058,0.027759416,0.00436015,0.014570967,0.063381017,0.00657566,0.005203406,0,0.011289952,0.001245486,0,0.003968704,0.004645761,0,0,0.019091471,0.001270165,0.004228058,0,0.014916152,0.01800466,0.001047267
Apicomplexa,0,0.003871556,0.002445486,0,0,0,0,0,0,0,0,0,0,0.000367107,0,0,0,0,0.00058292,0,0,0,0.000381533,0,0,0,0,0,0,0,0,0.005094614,0,0,0,0,0,0,0,0,0.012282804,0.003791345,0.003505472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027136582,0,0,0.004180456,0.003922358,0,0,0,0.002162396,0,0,0.000770671,0.000781555,0.004424778,0,0,0.001584284,0,0,0,0,0,0,0,0.005604124,0.000304658,0.006480648,0.000690175,0,0,0.007823231,0,0.000774594,0,0,0.002604783,0,0,0.008060124,0,0,0,0,0,0,0,0,0,0,0,0.000636673,0,0.000530433,9.02167E-05,0,0.003235441,0.001398357,0,0.00033572,0,0,0.007997045,0.007926024,0.01293847,0.009638061,0.001129377,0,0.03331046,0.060887351,0,0.005361132,0.020202021,0,0.000629063,0,0,0,0,0.003838771,0.011432925,0,0,0,0,0,0,0,0,0.000561088,0,0,0,0.000446429,0,0,0,0,0,0,0.000257898,0,0,0.003520668,0,0,0.001226393,0.004820825,0,0.000577701,0,0,0,0,0,0.002070394,0,0.002931477,0.002406475,0.018867925,0.001122838,0.000168422,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007384161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004759807,0,0,0,0,0.000153716,0.000422788,0,0,0.000384393,0,0.000349969,0.000441273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000281611,0,0,0.00016978,0,0,0,0,0,0,0,0.000170687,0,0,0.000246699,0,0,0.000571611,0,0,0,0.000379488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001133916,0,0,0,0.000239842,0,0,0,0.000525887,0,0
Armophorea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011456908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000604073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006040149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007897335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacillariophyta,0.467098867,0.058870416,0.393111881,0.37124542,0.140537733,0.183545828,0.625061271,0.528193265,0.116410063,0.249391724,0.088338151,0.464031845,0.31166078,0.067547724,0.413024171,0.213691618,0.341503803,0.111602682,0.473622856,0.296114808,0.027737551,0.59023012,0.232099707,0.064946072,0.551877391,0.133014215,0.532829942,0.606936415,0.620593187,0.392166837,0.071876737,0.076419215,0.4762634,0.510171359,0.378701195,0.493687279,0.586355427,0.288164125,0.297860517,0.23985142,0.539095265,0.569420842,0.634832425,0.704957129,0.49279171,0.815590661,0.383490481,0.328330205,0.600279523,0.098564284,0.322192513,0.397833189,0.338859417,0.020735461,0.2330153,0.265137757,0.348428952,0,0.44092219,0.284116331,0.571476888,0.797530014,0.52859378,0.530233021,0.14695926,0.048336108,0.251175753,0.169566526,0.325802438,0.042087168,0.049839698,0.103795001,0.153191756,0.036865917,0.385335237,0.093395859,0.063053098,0.301583331,0.086761032,0.124207857,0.04332189,0.450268971,0.127058823,0.139098913,0.034155709,0.243735894,0.134530143,0.290854071,0.018964923,0.299849983,0.13282718,0.255123227,0.016400062,0.245088089,0.14352067,0.107474826,0.028447445,0.180185869,0.081221882,0.288603326,0.02183465,0.390044658,0.061806655,0.232981318,0.041823128,0.149299329,0.27627628,0.560249117,0.032377995,0.421602787,0.050160466,0.083688764,0.035115979,0.40810696,0.119229142,0.178490915,0.073536063,0.486534136,0.138626182,0.474043,0.370688595,0.033907788,0.103010032,0.148801275,0.042445855,0.035997357,0.073988879,0.057110634,0.16733593,0.080224498,0.06674568,0.225456263,0.012749764,0.064482507,0.077777778,0.035908967,0.074648773,0.079827727,0.120619783,0.008398112,0.03483498,0.174984006,0.341082319,0.014674322,0.202066902,0.120953887,0.250609343,0.008552532,0.046658261,0.088626161,0.12789727,0.693224856,0.676036981,0.419021088,0.544515972,0.496428568,0.243067657,0.325651041,0.78186866,0.830142964,0.567633839,0.379414296,0.559509992,0.167234849,0.519919587,0.633720174,0.622135364,0.665297059,0.700269808,0.316888963,0.173409306,0.094357791,0.301375198,0.604041047,0.362087656,0.498970488,0.493133583,0.575757578,0.594708693,0.562232809,0.383285932,0.645578988,0.721985178,0.707294526,0.22974018,0.113971158,0.267616786,0.044455799,0.35121203,0.094114938,0.080022075,0.178364328,0.137548756,0.151273343,0.22875406,0.101078032,0.137543514,0.101532211,0.104361559,0.117172245,0.13316151,0.090671317,0.103226956,0.140810387,0.242299794,0.216117216,0.109756098,0.031937407,0.223223606,0.038513248,0.266285004,0.218153077,0.701459034,0.182552308,0.408990742,0.193129404,0.44116455,0.153707206,0.641572364,0.147260009,0.172074832,0.17134935,0.092799036,0.335383433,0.109858131,0.228879405,0.472162977,0.145919707,0.62132154,0.384708008,0.071980184,0.197935302,0.466845494,0.019711539,0.047708333,0.050043985,0.165799896,0.352336212,0.634901442,0.103768591,0.01539505,0.10275229,0.141801957,0.028963144,0.18714253,0.276663856,0.220169518,0.02612202,0.11642857,0.033032578,0.36721782,0.08393331,0.040833567,0.214085899,0.06504279,0.054499153,0.239462358,0.023924067,0.154113226,0.061065443,0.262042976,0.008784359,0.017926891,0.020311843,0.333522621,0.247889635,0.207845075,0.031588766,0.205348617,0.090631947,0.122976882,0.020647227,0.353834224,0.085574702,0.15156451,0.007128244,0.231577413,0.140685798,0.594274528,0.015741428,0.088808006,0.293707777,0.00682025,0.189094001,0.290152018,0.136690643,0.194495407,0.183460378,0.32495424,0.47540208,0.115404568,0.11701884,0.0207996,0.460175737,0.106588045,0.277003479,0.032746135,0.185009096,0.103899791,0.369109613,0.008135811,0.193608024,0.080030501,0.337852152,0.069468694
Bicoecea,0,0.00637668,0,0.006776556,0.00818288,0.011907626,0,0.016033575,0.000751032,0.002128954,0.023414932,0.012510662,0.006831567,0.016152719,0.008978786,0.001599487,0.007287183,0.01298701,0.010201108,0.012600632,0.013256099,0.013099902,0.006867609,0.006381658,0.003984675,0.010008705,0.006237688,0,0,0,0,0,0,0.003206734,0,0,0,0,0,0,0.016177352,0.003791345,0,0,0,0,0,0,0.00174703,0,0,0,0,0.000809979,0,0,0,0,0,0,0.004432092,0,0,0,0.006886892,0.000415974,0,0.00120688,0,0.000672797,0.000582921,0,0,0,0,0.001367722,0,0.000416667,0.001831806,0.00295733,0.000708407,0.000343367,0,0,0,0,0.001017515,0,0.001294795,0,0.001945038,0,0.000201971,0,0.00278681,0,0.00024108,0,0.001894387,0,0,0.004247903,0.000990492,0.000812348,0,0,0,0.001489304,0.002065583,0,0,0.000576369,0.00193299,0.000955009,0,0,0.003097839,0.001012753,0.001368841,0,0,0.000783349,0.020066891,0,0,0,0.011788384,0,0.000627432,0,0.007111222,0.004247955,0,0.001935964,0,0,0.000629063,0,0.002622168,0.000416436,0.001011804,0.004478568,0,0,0,0.000429131,0,0.000348089,0,0.00155333,0,0.001122177,0,0,0.002064861,0.001160714,0,0,0,0,0.007519411,0,0,0,0,0.002216716,0,0,0,0.003535271,0,0,0,0,0,0,0,0,0,0,0.000437542,0,0,0.001010782,0,0,0,0,0.001166002,0,0,0,0,0,0,0,0.001099372,0,0.002429839,0,0.001472754,0,0.001604565,0,0,0,0,0.004553325,0,0.001739818,0,0,0,0.011134222,0.007492289,0.012211419,0.001138488,0,0,0,0,0,0,0,0,0.001469868,0,0.001415714,0.00180538,0,0,0.001022129,0,0.0025,0,0.000390969,0.002600296,0,0.000604668,0.000353195,0.002984062,0,0.013387704,0.000949611,0.004118051,0,0,0.002632771,0,0.00027852,0,0.000189466,0.000563221,0.001480993,0,0.000848897,0,0.002210376,0.001204576,0.000854062,0,0.000566732,0.023335002,0.001536185,0,0,0.001973605,0.000985528,0,0.000762146,0.005924856,0.001769762,0,0.007447467,0,0.000660022,0,0,0,0.000197384,0,0.001266893,0.000656764,0.007286859,0.001321877,0.011336384,0.012844036,0,0.012984851,0.006385999,0.019807762,0.00549241,0.002615519,0.001700681,0.005102618,0,0.000702475,0,0.000191938,0.001905246,0,0,0,0,0.00153599
Bolidophyceae,0,0.001138693,0.002037904,0,0,0,0,0,0,0,0.000912269,0,0.000942285,0.003303965,0,0,0,0.001569859,0,0,0.001002562,0,0,0.000451799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001196083,0.000291461,0,0,0.000385023,0,0.000781555,0,0,0,0,0,0,0,0,0.000600276,0,0,0,0,0,0,0,0.000565519,0,0,0.00116189,0,0,0,0,0.000337998,0,0,0,0,0,0,0.000541565,0.000671357,0,0,0,0.000214777,0,0,0,0.00015038,0,0,0,0,0.000559535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000116009,0,0,0,0.00099448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000642776,0,0.002310803,0,0,0,0,0,0,0,0,0,0,0,0,0.035416022,0,0.000791765,0,0,0,0.000377599,0,0,0,0,0,0,0,0,0.001562295,0.001350025,0,0,0,0,0,0,0,0,0.000790827,0,0,0,0,0,0,0,0.00043007,0,0.000307432,0,0,0,0,0,0,0,0,0,0,0.002477051,0,0,0.001634615,0,0.003030008,0,0,0,0,0.004679553,0,0,0.00083091,0,0,0,0.000863878,0,0.00178253,0,0.001515726,0.006946399,0,0.00118499,0.001528013,0,0,0.002054843,0.002562186,0,0,0.002103155,0.004210285,0,0,0,0.001711708,0,0.002413465,0.004768786,0.003792347,0,0,0.00044382,0.004950168,0,0,0.001705107,0.002812731,0,0,0.003435385,0,0,0,0,0,0,0,0.000844266,0.004882142,0.001370034,0,0,0.002322881,0.000810549,0,0.00028781,0,0.002818706,0,0,0,0.001326536
Cariacotrichea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001393405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004192074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000648676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cercozoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000508713,0.001073022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000976945,0,0.00025,0,0,0,0,0,0,0.000840386,0,0,0,0,0,0,0,0.001777348,0,0,0,0,0,0,0,0,0,0,0.001949635,0,0,0,0,0.001239349,0,0,0,0,0,0.000529437,0,0,0,0,0,0,0.000559535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001907032,0.000208218,0,0,0.00152439,0,0,0.000183913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000642776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002864211,0,0,0,0,0,0,0,0,0.005881795,0,0,0,0,0,0,0,0,0,0,0.001306587,0,0,0,0,0,0,0,0,0,0,0.001748507,0,0,0,0,0.000586453,0.001114412,0,0,0,0,0.000352858,0.000769408,0,0,0,0,0.00082274,0,0.000947034,0,0.000284199,0,0.000329109,0.00118499,0.000594227,0,0,0,0,0,0,0.000200301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002974223,0,0,0,0,0,0,0,0,0,0.002381222,0,0,0,0,0,0.000512493,0,0.000956158,0,0
Chlorarachniophyceae,0,0.002846732,0.004075811,0,0.016625536,0.003728651,0.005472961,0.008770042,0.007698085,0.012469586,0.004105215,0.003696333,0.008244994,0.003120412,0.002565368,0.001279591,0,0.004281433,0,0,0.006795144,0.003244368,0.003433805,0.004969786,0.001992338,0.005366988,0.001477347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001833901,0,0,0,0,0,0.001050543,0.00249584,0.004006271,0.00181032,0.002148577,0.002765942,0.003983289,0.003243596,0,0.004235248,0.001100959,0.000976945,0,0.002666666,0.000915903,0.000528095,0.003596533,0.000915646,0,0.000414292,0.004141905,0,0.003924705,0,0.007844928,0,0,0,0.004079819,0.001373544,0,0.005228505,0.00638862,0.002887304,0.001183992,0.001685276,0.001284392,0,0.000594294,0.002112105,0.003496051,0,0,0.002301652,0.003718048,0.003982081,0.003328183,0.000461095,0.003114261,0.002652802,0,0.000530433,0.006586665,0.002025506,0.00236436,0,0,0.005707251,0,0,0.000184547,0,0,0,0,0,0.007423118,0,0.003663179,0.000893521,0,0.002452984,0.001887188,0.003505608,0.001787842,0.001041088,0.001975427,0,0.002286585,0.002436055,0,0.001961745,0.00421006,0.001044204,0,0.000172593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00690985,0,0,0.000324339,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001583531,0.003576903,0.00368211,0,0.002585105,0,0.008519811,0,0.013360578,0,0.002931656,0,0.003158789,0.004426506,0.000490918,0,0.003743983,0,0,0.006868132,0,0.030526518,0,0.020007907,0,0,0,0.007953016,0.010929925,0,0,0.002150353,0.001846338,0.00161402,0.000845577,0.027541589,0.002410366,0.001921969,0,0,0.002794733,0.000202245,0,0,0,0.000766597,0,0.00548077,0,0.002345811,0.001114412,0.003301169,0.00169307,0.000494473,0.003255339,0.001129146,0.001307994,0.002077274,0.005261954,0.001937658,0.002275618,0.003373237,0,0.006238856,0.004588245,0.008147025,0.003660941,0.004113871,0.002501645,0.003480475,0,0.004290729,0.0106285,0.006725739,0,0,0.001602404,0.004210285,0,0,0.002590354,0.008558536,0,0.004509367,0.002456647,0.004635093,0.000507845,0,0.00051779,0.005478184,0,0.004863813,0.003589605,0.002269924,0.006187443,0.000422298,0.004041629,0,0,0.004578157,0.002698327,0,0.001248543,0,0.007923105,0.004653292,0.004608295,0.003117914,0.168273047,0.018583043,0.008916027,0.005092231,0.002302489,0.003683474,0.003459321,0,0.003298748,0,0.011729387
