sampleID,region,location,marine_protected_area,management_type,fishing_restriction,siteID,depth,filter,subset,SAR_OTUrichness,diatom_OTUrichness,dinoAll_OTUrichness,dinophyceae_OTUrichness,SAR_ASVrichness,diatom_ASVrichness,dinoAll_ASVrichness,dinophyceae_ASVrichness,radio_OTUrichness,radio_ASVrichness,foram_OTUrichness,foram_ASVrichness,cerc_OTUrichness,cerc_ASVrichness,api_OTUrichness,api_ASVrichness,ciliate_OTUrichness,ciliate_ASVrichness,MAST_OTUrichness,MAST_ASVrichness,pelago_OTUrichness,pelago_ASVrichness,chryso_OTUrichness,chryso_ASVrichness
EB504,Lombok,North Lombok,no,open access,unrestricted,LBK_17,M,0.4um,M04,34,10,12,5,45,11,15,7,6,6,0,0,0,0,0,0,5,5,3,1,0,0,0,0
EB509,Lombok,North Lombok,no,open access,unrestricted,LBK_18,M,0.4um,M04,80,8,32,13,125,9,62,18,8,10,1,2,4,6,2,5,4,4,10,7,1,1,2,3
EB511,Lombok,South Lombok,yes,core zone,no-take,LBK_07,M,0.4um,M04,102,12,25,8,138,10,42,13,4,4,1,1,5,6,2,2,15,20,25,15,2,2,2,3
EB514,Lombok,South Lombok,no,open access,unrestricted,LBK_08,M,0.4um,M04,108,20,37,14,133,7,53,19,3,3,0,0,6,7,1,1,16,18,19,11,2,2,3,3
EB518,Lombok,South Lombok,no,open access,unrestricted,LBK_09,M,0.4um,M04,105,15,30,9,149,7,52,17,5,6,1,1,4,5,1,1,18,22,21,11,2,2,2,5
EB521,Lombok,South Lombok,yes,core zone,no-take,LBK_10,M,0.4um,M04,106,19,29,5,160,5,62,9,8,10,2,2,5,6,0,0,14,15,25,14,2,2,2,3
EB524,Lombok,South Lombok,yes,sustainable fisheries zone,gear-restricted,LBK_11,M,0.4um,M04,140,18,38,12,221,16,88,25,13,14,1,1,11,15,3,3,17,23,23,17,2,2,5,8
EB530,Waigeo,Waigeo,yes,core zone,no-take,WGO_01,M,0.4um,M04,3,15,13,11,5,3,40,34,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
EB534,Waigeo,Waigeo,yes,core zone,no-take,WGO_02,M,0.4um,M04,59,5,1,1,96,9,4,4,1,1,0,0,1,1,1,1,8,10,8,3,1,1,2,2
EB557,Waigeo,Waigeo,no,open access,unrestricted,WGO_13,M,0.4um,M04,80,11,11,6,125,4,25,20,11,12,1,1,0,0,1,1,7,8,17,8,1,1,2,3
EB568,Waigeo,Waigeo,no,open access,unrestricted,WGO_19,M,0.4um,M04,76,8,24,9,110,11,46,17,5,6,0,0,1,1,2,2,11,14,10,6,1,1,2,2
EB569,Misool,Misool,yes,sustainable fisheries zone,gear-restricted,MIS_01,M,0.4um,M04,99,9,36,11,181,9,101,38,12,15,0,0,4,4,2,3,12,19,12,10,1,1,3,3
EB573,Misool,Misool,yes,sustainable fisheries zone,gear-restricted,MIS_01,M,0.4um,M04,112,8,42,13,214,10,126,47,9,10,1,1,4,4,1,1,15,23,16,13,1,1,1,2
EB577,Misool,Misool,yes,tourism zone,no-take,MIS_02,M,0.4um,M04,109,22,38,11,192,11,102,31,10,11,0,0,6,6,1,1,19,28,12,9,1,1,1,1
EB585,Misool,Misool,yes,tourism zone,no-take,MIS_04,M,0.4um,M04,159,18,54,21,300,15,156,59,17,25,5,7,10,11,3,3,18,28,21,15,1,1,4,4
EB589,Misool,Misool,yes,tourism zone,no-take,MIS_05,M,0.4um,M04,128,15,45,14,254,11,133,40,16,23,0,0,8,8,2,6,13,16,18,17,1,1,2,2
EB593,Misool,Misool,yes,tourism zone,no-take,MIS_06,M,0.4um,M04,128,14,42,13,274,12,155,47,13,17,0,0,8,10,3,3,13,18,20,20,1,1,4,6
EB601,Misool,Misool,yes,sustainable fisheries zone,gear-restricted,MIS_07,M,0.4um,M04,144,18,57,20,313,8,186,63,12,17,2,2,10,11,2,2,16,26,22,19,1,1,3,4
EB605,Misool,Misool,yes,sustainable fisheries zone,gear-restricted,MIS_08,M,0.4um,M04,103,14,43,14,156,5,91,30,11,12,1,1,4,4,1,1,11,11,16,9,1,1,2,2
EB609,Misool,Misool,yes,sustainable fisheries zone,gear-restricted,MIS_09,M,0.4um,M04,111,19,41,9,176,7,95,24,13,14,0,0,6,6,2,2,12,17,18,12,1,1,3,3
EB613,Misool,Misool,yes,sustainable fisheries zone,gear-restricted,MIS_10,M,0.4um,M04,101,13,36,12,164,8,88,29,9,9,1,1,2,2,2,2,9,10,22,18,2,2,2,2
EB617,Misool,Misool,yes,sustainable fisheries zone,gear-restricted,MIS_11,M,0.4um,M04,154,18,48,14,317,10,170,32,15,17,4,4,6,7,3,4,20,31,26,24,2,2,4,6
EB621,Misool,Misool,yes,sustainable fisheries zone,gear-restricted,MIS_12,M,0.4um,M04,114,21,38,12,188,10,100,34,12,12,1,1,3,3,2,2,16,21,16,8,1,1,4,4
EB625,Misool,Misool,yes,tourism zone,no-take,MIS_13,M,0.4um,M04,179,26,54,18,391,25,196,58,15,17,1,1,14,17,5,8,19,32,25,33,2,2,6,10
