region,location,siteID,depth,filter,subset,variable,value,color,restriction
Lombok,North Lombok,LBK_01,M,12um,M12,All,36,high,fishing prohibited
Lombok,North Lombok,LBK_01,S,0.4um,S04,All,27,high,fishing prohibited
Lombok,North Lombok,LBK_01,S,12um,S12,All,124,high,fishing prohibited
Lombok,North Lombok,LBK_02,M,0.4um,M04,All,141,high,fishing gear restriction
Lombok,North Lombok,LBK_02,M,12um,M12,All,46,high,fishing gear restriction
Lombok,North Lombok,LBK_02,S,0.4um,S04,All,174,high,fishing gear restriction
Lombok,North Lombok,LBK_02,S,12um,S12,All,125,high,fishing gear restriction
Lombok,North Lombok,LBK_03,M,0.4um,M04,All,133,high,fishing gear restriction
Lombok,North Lombok,LBK_03,M,12um,M12,All,76,high,fishing gear restriction
Lombok,North Lombok,LBK_03,S,0.4um,S04,All,142,high,fishing gear restriction
Lombok,North Lombok,LBK_03,S,12um,S12,All,168,high,fishing gear restriction
Lombok,North Lombok,LBK_04,M,0.4um,M04,All,132,high,fishing prohibited
Lombok,North Lombok,LBK_04,M,12um,M12,All,53,high,fishing prohibited
Lombok,North Lombok,LBK_04,S,0.4um,S04,All,97,high,fishing prohibited
Lombok,North Lombok,LBK_04,S,12um,S12,All,120,high,fishing prohibited
Lombok,North Lombok,LBK_05,M,0.4um,M04,All,149,high,unrestricted fishing
Lombok,North Lombok,LBK_05,S,0.4um,S04,All,73,high,unrestricted fishing
Lombok,North Lombok,LBK_05,S,12um,S12,All,101,high,unrestricted fishing
Lombok,North Lombok,LBK_06,M,0.4um,M04,All,155,high,unrestricted fishing
Lombok,North Lombok,LBK_06,S,0.4um,S04,All,101,high,unrestricted fishing
Lombok,North Lombok,LBK_06,S,12um,S12,All,96,high,unrestricted fishing
Lombok,South Lombok,LBK_07,M,0.4um,M04,All,102,high,fishing prohibited
Lombok,South Lombok,LBK_07,M,12um,M12,All,55,high,fishing prohibited
Lombok,South Lombok,LBK_07,S,0.4um,S04,All,107,high,fishing prohibited
Lombok,South Lombok,LBK_07,S,12um,S12,All,106,high,fishing prohibited
Lombok,South Lombok,LBK_08,M,0.4um,M04,All,108,high,unrestricted fishing
Lombok,South Lombok,LBK_08,M,12um,M12,All,98,high,unrestricted fishing
Lombok,South Lombok,LBK_08,S,0.4um,S04,All,76,high,unrestricted fishing
Lombok,South Lombok,LBK_08,S,12um,S12,All,79,high,unrestricted fishing
Lombok,South Lombok,LBK_09,M,0.4um,M04,All,105,high,unrestricted fishing
Lombok,South Lombok,LBK_09,M,12um,M12,All,57,high,unrestricted fishing
Lombok,South Lombok,LBK_09,S,0.4um,S04,All,96,high,unrestricted fishing
Lombok,South Lombok,LBK_09,S,12um,S12,All,84,high,unrestricted fishing
Lombok,South Lombok,LBK_10,M,0.4um,M04,All,106,high,fishing prohibited
Lombok,South Lombok,LBK_10,M,12um,M12,All,90,high,fishing prohibited
Lombok,South Lombok,LBK_10,S,0.4um,S04,All,63,high,fishing prohibited
Lombok,South Lombok,LBK_10,S,12um,S12,All,140,high,fishing prohibited
Lombok,South Lombok,LBK_11,M,0.4um,M04,All,140,high,fishing gear restriction
Lombok,South Lombok,LBK_11,M,12um,M12,All,82,high,fishing gear restriction
Lombok,South Lombok,LBK_11,S,0.4um,S04,All,103,high,fishing gear restriction
Lombok,South Lombok,LBK_11,S,12um,S12,All,84,high,fishing gear restriction
Lombok,South Lombok,LBK_12,M,0.4um,M04,All,155,high,fishing gear restriction
Lombok,South Lombok,LBK_12,M,12um,M12,All,59,high,fishing gear restriction
Lombok,South Lombok,LBK_12,S,0.4um,S04,All,98,high,fishing gear restriction
Lombok,South Lombok,LBK_12,S,12um,S12,All,127,high,fishing gear restriction
Lombok,North Lombok,LBK_13,M,0.4um,M04,All,143,high,fishing prohibited
Lombok,North Lombok,LBK_13,M,12um,M12,All,87,high,fishing prohibited
Lombok,North Lombok,LBK_13,S,0.4um,S04,All,84,high,fishing prohibited
Lombok,North Lombok,LBK_13,S,12um,S12,All,54,high,fishing prohibited
Lombok,North Lombok,LBK_14,M,0.4um,M04,All,131,high,fishing gear restriction
Lombok,North Lombok,LBK_14,M,12um,M12,All,38,high,fishing gear restriction
Lombok,North Lombok,LBK_14,S,0.4um,S04,All,129,high,fishing gear restriction
Lombok,North Lombok,LBK_14,S,12um,S12,All,104,high,fishing gear restriction
Lombok,North Lombok,LBK_15,M,0.4um,M04,All,148,high,fishing gear restriction
Lombok,North Lombok,LBK_15,M,12um,M12,All,23,high,fishing gear restriction
Lombok,North Lombok,LBK_15,S,0.4um,S04,All,185,high,fishing gear restriction
Lombok,North Lombok,LBK_15,S,12um,S12,All,71,high,fishing gear restriction
Lombok,North Lombok,LBK_16,M,0.4um,M04,All,127,high,fishing prohibited
Lombok,North Lombok,LBK_16,M,12um,M12,All,32,high,fishing prohibited
Lombok,North Lombok,LBK_16,S,0.4um,S04,All,113,high,fishing prohibited
Lombok,North Lombok,LBK_16,S,12um,S12,All,84,high,fishing prohibited
Lombok,North Lombok,LBK_17,M,0.4um,M04,All,34,high,unrestricted fishing
Lombok,North Lombok,LBK_17,M,12um,M12,All,103,high,unrestricted fishing
Lombok,North Lombok,LBK_17,S,0.4um,S04,All,109,high,unrestricted fishing
Lombok,North Lombok,LBK_17,S,12um,S12,All,44,high,unrestricted fishing
Lombok,North Lombok,LBK_18,M,0.4um,M04,All,80,high,unrestricted fishing
Lombok,North Lombok,LBK_18,M,12um,M12,All,53,high,unrestricted fishing
Lombok,North Lombok,LBK_18,S,12um,S12,All,82,high,unrestricted fishing
Misool,Misool,MIS_01,M,0.4um,M04,All,99,high,fishing gear restriction
