siteID,region,restriction,detritivore,carnivore,herbivore,benthic invertivore,omnivore,planktivore,corallivore,NA,protist
LBK_02,Lombok,fishing gear restriction,0,6,10.33333333,29.16666667,14.66666667,44.66666667,125.3333333,4.833333333,305
LBK_03,Lombok,fishing gear restriction,0,6,16.66666667,17.16666667,22,74.66666667,218.6666667,5.666666667,342
LBK_11,Lombok,fishing gear restriction,0,13.33333333,11.5,17,15.33333333,46.33333333,121.8333333,8.833333333,263
LBK_12,Lombok,fishing gear restriction,0,14.66666667,9.5,16.33333333,14,70.33333333,128.8333333,8.166666667,278
LBK_14,Lombok,fishing gear restriction,0,42,9.6,43.4,9.4,93.2,283.8,8.2,283
LBK_15,Lombok,fishing gear restriction,0,19.66666667,6,30.16666667,8.333333333,61,96.83333333,8.333333333,333
MIS_01,Misool,fishing gear restriction,0,4.166666667,21.16666667,22.5,19,63.33333333,496.8333333,8.166666667,317
MIS_07,Misool,fishing gear restriction,0,13,19.33333333,18,13.16666667,34.16666667,326.3333333,9.333333333,347
MIS_08,Misool,fishing gear restriction,0,10,13.33333333,19.33333333,25.16666667,56.83333333,280.8333333,14.33333333,211
MIS_09,Misool,fishing gear restriction,0,7,19.16666667,12,15.5,39.5,376.1666667,13.33333333,220
MIS_10,Misool,fishing gear restriction,0,8.166666667,28.66666667,24.33333333,27.5,31.83333333,182.6666667,10.66666667,234
MIS_11,Misool,fishing gear restriction,0,19.33333333,14,24.66666667,17.5,51,214.8333333,12.16666667,347
MIS_12,Misool,fishing gear restriction,0,5.5,14.66666667,13.33333333,23.5,39.66666667,184.6666667,13.33333333,262
MIS_14,Misool,fishing gear restriction,0,12,54.33333333,67.5,24.16666667,81.5,124.8333333,13,208
MIS_15,Misool,fishing gear restriction,0,9.833333333,26.16666667,9.833333333,17.66666667,69.33333333,240,7.666666667,138
MIS_16,Misool,fishing gear restriction,0,5.833333333,12.16666667,10,13.33333333,66.16666667,197.8333333,13.33333333,168
MIS_17,Misool,fishing gear restriction,0,8.333333333,30.5,35.66666667,28,73.33333333,505.3333333,14.83333333,260
LBK_01,Lombok,fishing prohibited,0,6,9.333333333,39.16666667,27.5,114,577.5,20.33333333,56
LBK_04,Lombok,fishing prohibited,0,13,10.66666667,21.83333333,13.83333333,208.5,170.5,5.833333333,325
LBK_07,Lombok,fishing prohibited,0,20,5.166666667,14.33333333,15.33333333,91,125.1666667,15.5,167
LBK_10,Lombok,fishing prohibited,0,19.5,20.16666667,33.5,18.33333333,117,173.1666667,15.83333333,262
LBK_13,Lombok,fishing prohibited,0,37.33333333,5.833333333,48.16666667,20.5,113.3333333,56.83333333,6.166666667,375
LBK_16,Lombok,fishing prohibited,0,9.666666667,3.5,11.83333333,8.166666667,124,46.16666667,5.666666667,239
MIS_02,Misool,fishing prohibited,0,6.833333333,17,27,22.66666667,55.5,369.5,5.166666667,244
MIS_03,Misool,fishing prohibited,0,0.333333333,13.83333333,11,4.166666667,16.33333333,387.3333333,4.833333333,114
MIS_04,Misool,fishing prohibited,0,14.5,20.16666667,21.16666667,22.66666667,37.5,316,9,337
MIS_05,Misool,fishing prohibited,0,4,26.66666667,20.16666667,26.5,55,227.3333333,10.5,284
MIS_06,Misool,fishing prohibited,0,5,14.66666667,23.16666667,16.83333333,90.66666667,271.3333333,10.66666667,285
MIS_13,Misool,fishing prohibited,0,10.66666667,13.83333333,23.16666667,21.66666667,41,165,12.83333333,442
MIS_18,Misool,fishing prohibited,0,11,17,22.33333333,8.666666667,63.66666667,159.6666667,5,335
MIS_19,Misool,fishing prohibited,0,10.66666667,25.66666667,16.66666667,20.5,40,848,15.16666667,303
MIS_20,Misool,fishing prohibited,0,13.83333333,20.16666667,24.66666667,24.5,54.83333333,219.1666667,13.5,271
MIS_21,Misool,fishing prohibited,0,9.833333333,109.3333333,41.66666667,16.33333333,84.16666667,331.6666667,8.833333333,284
WGO_01,Waigeo,fishing prohibited,0,6.666666667,21.66666667,36.66666667,15,59,322.3333333,8.333333333,115
WGO_02,Waigeo,fishing prohibited,0,4.333333333,15.33333333,33.66666667,16,51,286.6666667,13,230
WGO_03,Waigeo,fishing prohibited,0,12.33333333,9.666666667,25,18.66666667,115.6666667,388.3333333,10.66666667,152
WGO_04,Waigeo,fishing prohibited,0,9,17,25.4,9,48,307,4.6,244
WGO_05,Waigeo,fishing prohibited,0,4.2,21.4,37.8,14.2,23.4,297.8,6.8,247
WGO_06,Waigeo,fishing prohibited,0,7.6,55,16.4,14.6,86.2,191,8,192
WGO_07,Waigeo,fishing prohibited,0,8.333333333,15,11.66666667,14.66666667,72.33333333,155,9.666666667,141
WGO_08,Waigeo,fishing prohibited,0,3.6,84,22,11.8,42,432.4,6,336
WGO_09,Waigeo,fishing prohibited,0,11,18.66666667,21.33333333,11,90,895.3333333,9.333333333,182
WGO_10,Waigeo,fishing prohibited,0,6.8,41.8,27.4,14.6,112.8,346.4,8,271
WGO_15,Waigeo,fishing prohibited,0,3.25,12.5,41.75,12.25,135.75,957.75,10.5,
WGO_16,Waigeo,fishing prohibited,0,2.2,17.6,84.4,8.2,42.4,174,12.4,140
WGO_17,Waigeo,fishing prohibited,0,9,23.6,45,15.2,95,909,9.6,152
LBK_05,Lombok,unrestricted fishing,0,7.5,4.166666667,18.5,10.66666667,24.5,35.16666667,6.333333333,312
LBK_06,Lombok,unrestricted fishing,0,18.83333333,4,18.33333333,10.83333333,62.83333333,54,4.5,329
LBK_08,Lombok,unrestricted fishing,0,6.5,8.666666667,11.5,5,12.83333333,85.66666667,6.666666667,206
LBK_09,Lombok,unrestricted fishing,0,16.16666667,4.833333333,12.66666667,6.666666667,42.83333333,92.66666667,13,184
LBK_17,Lombok,unrestricted fishing,0,15.33333333,5,20.5,9.833333333,109.5,24.5,10.33333333,170
LBK_18,Lombok,unrestricted fishing,0,21.2,12,25.4,17.8,51.2,38.4,16.2,185
WK_01,Wakatobi,unrestricted fishing,0,7.666666667,5.666666667,19.33333333,11.66666667,95,245.3333333,9.333333333,
WK_02,Wakatobi,unrestricted fishing,0,16.66666667,9,29,13.66666667,111.6666667,214.6666667,8.333333333,
WK_03,Wakatobi,unrestricted fishing,0,20,10.66666667,39.33333333,10.66666667,17.33333333,268.3333333,8.333333333,284
WK_04,Wakatobi,unrestricted fishing,0,16,9.333333333,14.66666667,11.66666667,55.33333333,29.66666667,5,291
WK_05,Wakatobi,unrestricted fishing,0,16.66666667,17,50.66666667,12.66666667,41.66666667,284.6666667,7.333333333,158
